# Torricelli ver3.6.449
"Type";"Name";"Symbol";"Color";"Component";"Slice nb";"Phi";"Pc";"Fc";"Pc_err";"Fc_err";"Core level";"Gamma";"Gamma_err";"Q_0";"Q_H";"Delta";"P el";"Sr";"Sr_err";"|Si|";"Psi";"Beta";"b sample";"b DCM";"Xi";"Pol.";"P Refl";"Substrate";"(hkl)";"DW";"Temp.";"delta hnu";"Sigma";"R2 Refl";"X2 Yield";"Monte Carlo analysis";"Note";"Path"
"Group";"Group1";"+";"(0, 25, 255)";"";"";"";0.652;0.775;0.0346477959826;0.141117518442;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Point";"Point1.1";"o";"(0, 25, 255)";"C1s";1;90.0;0.7;0.7;0.012;0.012;"C1s";"";"";"";"";0.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0.0;"";"";"";"";"/this/can/be/a/path"
"Point";"Point1.2";"o";"(0, 25, 255)";"C1s";2;85.0;0.6;0.8;0.012;0.015;"C1s";"";"";"";"";0.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0.0;"";"";"";"";""
"Point";"Point1.3";"o";"(0, 25, 255)";"C1s";3;80.0;0.65;0.7;0.012;0.012;"C1s";"";"";"";"";0.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0.0;"";"";"";"";""
"Point";"Point1.4";"o";"(0, 25, 255)";"C1s";4;75.0;0.68;0.75;0.015;0.012;"C1s";"";"";"";"";0.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0.0;"";"";"";"";""
"Group";"Group2";"d";"(255, 0, 127)";"";"";"";0.3305;0.294;0.0218356527089;0.0466270029064;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Point";"Point2.1";"o";"(255, 0, 127)";"Si2s";1;90.0;0.3;0.3;0.022;0.017;"Si2s";"";"";"";"";0.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1.0;"";"";"";"";""
"Point";"Point2.2";"o";"(255, 0, 127)";"Si2s";2;85.0;0.33;0.33;0.013;0.03;"Si2s";"";"";"";"";0.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0.0;"";"";"";"";""
"Point";"Point2.3";"o";"(255, 0, 127)";"Si2s";3;80.0;0.35;0.25;0.012;0.025;"Si2s";"";"";"";"";0.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0.0;"";"";"";"";""
"Group";"Group3";"s";"(38, 255, 0)";"";"";"";0.8886;0.435;0.0270438263127;0.0697764996333;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Point";"Point3.1";"o";"(255, 170, 0)";"N1s";1;90.0;0.9;0.4;0.031;0.014;"N1s";"";"";"";"";0.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1.0;"";"";"";"";""
"Point";"Point3.2";"o";"(255, 170, 0)";"N1s";2;85.0;0.92;0.42;0.028745;0.024;"N1s";"";"";"";"";0.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0.0;"";"";"";"";""
"Point";"Point3.3";"o";"(255, 170, 0)";"N1s";3;80.0;0.85;0.44;0.030112;0.0205;"N1s";"";"";"";"";0.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0.0;"";"";"";"";""
