# Torricelli ver3.3.359
"Type";"Name";"Symbol";"Color";"Component";"Slice nb";"Pc";"Fc";"Pc_err";"Fc_err";"Sr";"Sr_err";"|Si|";"Psi";"Q";"Q_err";"Delta";"Sigma";"deltaEn";"Note";"Path"
"Group";"2N-DBTPTP_Cu111_1stPrep_1.8A_69357-69435/69403_C1s-XSW-Model-1";"+";"(0, 0, 0)";"";"";0.2717;0.9471;0.0671258233134;0.203807096197;"";"";"";"";"";"";"";"";"";"";""
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-1";"s";"(85, 0, 255)";"1 CPSeV";0;0.27291;0.94605;0.00146;0.01583;1.0;"";1.0;0.0;0.06096;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-1"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-1";"s";"(128, 128, 128)";"C[C2H] CPSeV";0;0.12597;0.71803;0.01224;0.05547;1.0;"";1.0;0.0;0.06096;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-1"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-1";"s";"(0, 170, 0)";"C[C2N] CPSeV";0;0.29465;1.1021;0.00843;0.11352;1.0;"";1.0;0.0;0.06096;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-1"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-1";"s";"(85, 0, 255)";"C[C3] CPSeV";0;0.30523;1.22406;0.00191;0.03024;1.0;"";1.0;0.0;0.06096;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-1"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-1";"s";"(85, 0, 255)";"1 CPSeV";1;0.2609;0.95843;0.0021;0.02329;1.0;"";1.0;0.0;0.10125;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-1"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-1";"s";"(128, 128, 128)";"C[C2H] CPSeV";1;0.14151;0.8424;0.00977;0.05457;1.0;"";1.0;0.0;0.10125;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-1"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-1";"s";"(0, 170, 0)";"C[C2N] CPSeV";1;0.25198;0.7239;0.01052;0.08056;1.0;"";1.0;0.0;0.10125;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-1"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-1";"s";"(85, 0, 255)";"C[C3] CPSeV";1;0.29694;1.20578;0.00203;0.03087;1.0;"";1.0;0.0;0.10125;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-1"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-1";"s";"(85, 0, 255)";"1 CPSeV";2;0.24847;0.87738;0.00181;0.01794;1.0;"";1.0;0.0;0.14036;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-1"
