E:\DATA AND ANALYSIS\BEAM-TIMES\XSW\2014-06 DATA I09 BEAMTIME\DATAI09-1\EXPORT\I09-22758_C1SXSW_H-QFMLG\SUM\i09-22758_c1sxsw_allregions_2Comp_ShirleyBgd.vms	

Etch Time	C1s_total	StDev_C1s_total	C1s_QFMLG	StDev_C1s_QFMLG	C1s_Bulk	StDev_C1s_Bulk
2.460920e+003	3.558958e+005	8.186899e+002	1.320315e+005	5.303627e+002	2.220175e+005	4.522163e+002	
2.460990e+003	3.595590e+005	7.855856e+002	1.334443e+005	4.911137e+002	2.214722e+005	4.643002e+002	
2.461050e+003	3.510015e+005	7.930356e+002	1.300375e+005	5.894783e+002	2.184055e+005	4.204536e+002	
2.461120e+003	3.633215e+005	8.507257e+002	1.361185e+005	4.962191e+002	2.229136e+005	4.561772e+002	
2.461180e+003	3.677199e+005	7.730176e+002	1.365916e+005	5.434591e+002	2.242318e+005	5.204863e+002	
2.461240e+003	3.574027e+005	7.906425e+002	1.331017e+005	5.596769e+002	2.209896e+005	4.537839e+002	
2.461310e+003	3.578815e+005	7.341622e+002	1.346110e+005	4.772334e+002	2.201385e+005	4.403146e+002	
2.461380e+003	3.616416e+005	7.656542e+002	1.375454e+005	5.131130e+002	2.188133e+005	4.273687e+002	
2.461440e+003	3.546234e+005	8.177087e+002	1.349836e+005	4.634614e+002	2.171717e+005	4.056363e+002	
2.461510e+003	3.587536e+005	7.466938e+002	1.394536e+005	5.032284e+002	2.138016e+005	4.613119e+002	
2.461570e+003	3.497306e+005	7.617287e+002	1.397862e+005	4.849856e+002	2.080522e+005	3.876566e+002	
2.461640e+003	3.548354e+005	6.757959e+002	1.437292e+005	5.078818e+002	2.035150e+005	4.048672e+002	
2.461700e+003	3.359489e+005	7.467304e+002	1.398025e+005	4.397241e+002	1.917863e+005	4.009547e+002	
2.461760e+003	3.025821e+005	7.101436e+002	1.347085e+005	4.581360e+002	1.654433e+005	3.617847e+002	
2.461830e+003	2.637265e+005	6.885314e+002	1.215160e+005	4.502793e+002	1.367415e+005	4.597767e+002	
2.461900e+003	2.093080e+005	7.819546e+002	9.922262e+004	4.624043e+002	1.048193e+005	4.550828e+002	
2.461960e+003	1.626955e+005	9.671136e+002	7.687764e+004	6.547820e+002	8.598260e+004	4.713289e+002	
2.462030e+003	1.740427e+005	1.013564e+003	6.729830e+004	7.375920e+002	1.056860e+005	5.103982e+002	
2.462090e+003	2.260515e+005	1.074712e+003	7.719822e+004	6.899809e+002	1.479967e+005	4.959400e+002	
2.462150e+003	2.882519e+005	1.076251e+003	9.060303e+004	6.350508e+002	1.938304e+005	5.564445e+002	
2.462220e+003	3.266036e+005	1.024441e+003	1.021021e+005	5.665267e+002	2.225806e+005	4.695671e+002	
2.462280e+003	3.496827e+005	9.680032e+002	1.105660e+005	6.376279e+002	2.359793e+005	5.230767e+002	
2.462350e+003	3.595370e+005	9.473527e+002	1.181498e+005	5.716201e+002	2.367129e+005	4.886261e+002	
2.462420e+003	3.597733e+005	9.786181e+002	1.173969e+005	5.921270e+002	2.393330e+005	5.107034e+002	
2.462480e+003	3.577790e+005	8.915305e+002	1.183958e+005	5.584982e+002	2.351485e+005	4.401509e+002	
2.462550e+003	3.596778e+005	9.388131e+002	1.225099e+005	5.403135e+002	2.337585e+005	4.969020e+002	
2.462610e+003	3.571804e+005	9.095285e+002	1.203285e+005	4.995598e+002	2.332614e+005	4.485178e+002	
2.462670e+003	3.545591e+005	9.049213e+002	1.210910e+005	5.851326e+002	2.316161e+005	4.366197e+002	
2.462740e+003	3.657618e+005	9.061014e+002	1.243581e+005	5.491595e+002	2.341408e+005	4.714696e+002	
2.462800e+003	3.654781e+005	8.778588e+002	1.263707e+005	5.088523e+002	2.339853e+005	5.406461e+002	
2.462870e+003	3.533826e+005	9.240366e+002	1.218407e+005	5.403262e+002	2.321243e+005	5.680695e+002	
