c:\users\markus\desktop\winos\promotion\messzeiten\2015_sept_beamtime\test\i09-58244_n1shbn-xsw\singleslices\i09-58244_n1shbn-xsw_slice00_296880.vms	

Data Set	N1s	STDEV_N1s
1.000000e+000	4.682480e-002	3.653553e-001	
2.000000e+000	6.009333e-002	1.315879e-001	
3.000000e+000	2.207569e-002	3.295819e-001	
4.000000e+000	2.183714e-002	3.359823e-001	
5.000000e+000	7.233117e-002	1.280899e-001	
6.000000e+000	-6.742503e-002	4.384293e-001	
7.000000e+000	4.232288e-002	3.158726e-001	
8.000000e+000	-1.754844e-002	3.681832e-001	
9.000000e+000	-6.714638e-004	3.534840e-001	
1.000000e+001	-3.229696e-002	4.623722e-001	
1.100000e+001	-3.203987e-002	4.020554e-001	
1.200000e+001	1.764935e-002	2.635886e-001	
1.300000e+001	2.407847e-002	2.809544e-001	
1.400000e+001	3.648945e-002	4.118435e-001	
1.500000e+001	1.066275e-002	3.590653e-001	
1.600000e+001	1.015179e-001	1.695165e-001	
1.700000e+001	1.902937e-003	5.399240e-001	
1.800000e+001	2.467423e-002	3.253054e-001	
1.900000e+001	6.161506e-002	3.485465e-001	
2.000000e+001	5.012346e-003	4.121167e-001	
2.100000e+001	1.729521e-002	3.330702e-001	
2.200000e+001	-2.839658e-002	3.774304e-001	
2.300000e+001	-3.826427e-002	4.911847e-001	
2.400000e+001	3.744727e-002	3.311026e-001	
2.500000e+001	-4.158658e-002	4.780470e-001	
2.600000e+001	-2.530116e-002	4.636507e-001	
2.700000e+001	1.964920e-002	3.282930e-001	
2.800000e+001	-2.231188e-002	4.283951e-001	
2.900000e+001	9.576705e-003	3.685474e-001	
3.000000e+001	3.149205e-002	3.565556e-001	
3.100000e+001	-4.054446e-002	3.954165e-001	
3.200000e+001	-4.004121e-002	4.728638e-001	
3.300000e+001	-2.692048e-002	4.069933e-001	
3.400000e+001	-4.388713e-002	4.164896e-001	
3.500000e+001	-1.066412e-002	4.116766e-001	
3.600000e+001	4.437988e-002	2.856002e-001	
3.700000e+001	-1.619676e-002	3.500666e-001	
3.800000e+001	-3.487973e-002	4.693274e-001	
3.900000e+001	-8.051930e-003	4.356764e-001	
4.000000e+001	-1.534088e-002	4.072842e-001	
4.100000e+001	-3.462439e-002	3.910782e-001	
4.200000e+001	-4.041611e-002	4.935424e-001	
4.300000e+001	-3.882082e-002	4.730121e-001	
4.400000e+001	5.687641e-002	2.871200e-001	
4.500000e+001	2.509333e-002	3.519082e-001	
4.600000e+001	1.104646e-003	3.470906e-001	
4.700000e+001	-3.053573e-002	4.288580e-001	
4.800000e+001	2.621605e-002	3.456991e-001	
4.900000e+001	3.453053e-002	5.014171e-001	
5.000000e+001	-1.174912e-001	5.271896e-001	
5.100000e+001	1.214451e-002	4.658511e-001	
5.200000e+001	3.062926e-002	4.040243e-001	
5.300000e+001	-5.757589e-003	4.611513e-001	
5.400000e+001	3.385118e-004	4.922495e-001	
5.500000e+001	2.131781e-002	4.824803e-001	
5.600000e+001	-4.624293e-002	4.766590e-001	
5.700000e+001	2.226354e-002	4.519626e-001	
5.800000e+001	-7.781393e-002	5.205499e-001	
5.900000e+001	3.699575e-002	4.062229e-001	
6.000000e+001	3.361979e-003	4.451469e-001	
6.100000e+001	-7.189995e-003	4.406179e-001	
6.200000e+001	2.993112e-002	2.838170e-001	
6.300000e+001	-3.482900e-002	4.865489e-001	
6.400000e+001	5.583406e-002	3.334980e-001	
6.500000e+001	-4.302181e-002	4.592930e-001	
6.600000e+001	1.322486e-002	3.797195e-001	
6.700000e+001	1.215019e-002	3.789841e-001	
6.800000e+001	4.604911e-002	2.998421e-001	
6.900000e+001	-9.457814e-002	5.684170e-001	
7.000000e+001	-1.650798e-002	4.288849e-001	
7.100000e+001	8.642761e-003	3.422682e-001	
7.200000e+001	2.929152e-003	3.859368e-001	
7.300000e+001	2.098691e-004	3.726436e-001	
7.400000e+001	-2.597743e-002	4.875563e-001	
7.500000e+001	-1.705472e-001	5.592950e-001	
7.600000e+001	-4.687272e-003	3.897103e-001	
7.700000e+001	-6.884088e-002	5.267689e-001	
7.800000e+001	-6.379314e-002	4.508649e-001	
7.900000e+001	-5.024723e-002	5.254388e-001	
8.000000e+001	-6.805767e-003	3.713382e-001	
8.100000e+001	4.294767e-003	3.574758e-001	
8.200000e+001	-1.981730e-002	4.194534e-001	
8.300000e+001	3.098920e-002	3.628657e-001	
8.400000e+001	3.455150e-002	4.141577e-001	
8.500000e+001	1.251437e-002	3.668312e-001	
8.600000e+001	4.894121e-002	3.758239e-001	
8.700000e+001	-1.862985e-002	4.998801e-001	
8.800000e+001	-2.340177e-002	4.517813e-001	
8.900000e+001	-3.026846e-002	5.639696e-001	
9.000000e+001	-9.827907e-002	5.479992e-001	
9.100000e+001	-4.888693e-002	4.866524e-001	
9.200000e+001	2.892382e-002	4.570775e-001	
9.300000e+001	-2.710699e-002	5.463183e-001	
9.400000e+001	4.877404e-003	4.712466e-001	
9.500000e+001	-1.926069e-002	4.668090e-001	
9.600000e+001	3.065973e-002	3.910387e-001	
9.700000e+001	4.829774e-002	2.973409e-001	
9.800000e+001	-1.397949e-002	4.086546e-001	
9.900000e+001	6.767377e-002	4.306951e-001	
1.000000e+002	3.816850e-002	4.043937e-001	
1.010000e+002	-1.018208e-002	4.538206e-001	
1.020000e+002	-2.311599e-002	4.211610e-001	
1.030000e+002	5.243110e-002	3.167629e-001	
1.040000e+002	5.343730e-002	3.248147e-001	
1.050000e+002	2.959564e-002	3.444450e-001	
1.060000e+002	-3.661281e-002	4.073353e-001	
1.070000e+002	3.947879e-002	3.546876e-001	
1.080000e+002	-1.198555e-002	4.675433e-001	
1.090000e+002	-5.646068e-002	4.569649e-001	
1.100000e+002	4.008229e-002	3.500191e-001	
1.110000e+002	2.020669e-002	2.987689e-001	
1.120000e+002	3.128967e-002	2.728390e-001	
1.130000e+002	6.385723e-002	2.175348e-001	
1.140000e+002	-9.036009e-003	3.648874e-001	
1.150000e+002	-1.938923e-002	3.920412e-001	
1.160000e+002	3.526371e-002	3.534846e-001	
1.170000e+002	-1.024774e-002	3.279744e-001	
1.180000e+002	-5.531429e-002	4.101918e-001	
1.190000e+002	-6.504110e-002	5.444488e-001	
1.200000e+002	9.183316e-003	3.175788e-001	
1.210000e+002	-6.646651e-002	4.681928e-001	
1.220000e+002	5.741569e-002	3.353989e-001	
1.230000e+002	7.364199e-003	4.332203e-001	
1.240000e+002	3.653782e-002	3.748830e-001	
1.250000e+002	1.403905e-002	4.166095e-001	
1.260000e+002	-3.886281e-002	4.985723e-001	
1.270000e+002	2.644721e-003	5.100748e-001	
1.280000e+002	-3.850944e-002	5.588843e-001	
1.290000e+002	-8.639942e-003	4.815687e-001	
1.300000e+002	-1.664608e-003	4.307053e-001	
1.310000e+002	6.546985e-002	3.607419e-001	
1.320000e+002	4.987577e-002	2.900800e-001	
1.330000e+002	1.398063e-002	3.916813e-001	
1.340000e+002	-3.058395e-002	4.443938e-001	
1.350000e+002	2.749952e-002	4.001765e-001	
1.360000e+002	5.383229e-002	2.938085e-001	
1.370000e+002	-7.752910e-003	4.002576e-001	
1.380000e+002	3.050714e-002	3.561926e-001	
1.390000e+002	-2.344275e-002	4.815008e-001	
1.400000e+002	-3.291239e-002	4.607951e-001	
1.410000e+002	-7.680724e-003	4.121874e-001	
1.420000e+002	-1.685446e-002	4.608105e-001	
1.430000e+002	1.077028e-003	3.503657e-001	
1.440000e+002	3.976806e-002	3.430551e-001	
1.450000e+002	3.043942e-002	3.105980e-001	
1.460000e+002	2.753150e-002	2.438465e-001	
1.470000e+002	2.376468e-004	2.713265e-001	
1.480000e+002	-1.521222e-002	3.516758e-001	
1.490000e+002	4.431617e-002	2.890100e-001	
1.500000e+002	-5.703290e-003	3.762899e-001	
1.510000e+002	4.252247e-002	2.809641e-001	
1.520000e+002	-4.794351e-003	3.748997e-001	
1.530000e+002	-9.444354e-002	4.728210e-001	
1.540000e+002	5.877092e-002	2.892240e-001	
1.550000e+002	3.016460e-002	2.659753e-001	
1.560000e+002	4.031543e-002	2.732502e-001	
1.570000e+002	-3.537937e-002	4.257299e-001	
1.580000e+002	-1.076189e-002	3.708579e-001	
1.590000e+002	6.278024e-002	3.411029e-001	
1.600000e+002	4.991348e-002	3.797131e-001	
1.610000e+002	-9.483256e-002	5.556740e-001	
1.620000e+002	9.278640e-003	3.764013e-001	
1.630000e+002	-2.776260e-002	5.002338e-001	
1.640000e+002	4.547408e-002	4.338663e-001	
1.650000e+002	1.664328e-002	3.356996e-001	
1.660000e+002	2.329861e-002	3.865846e-001	
1.670000e+002	-8.390621e-003	3.856477e-001	
1.680000e+002	8.881022e-003	4.569944e-001	
1.690000e+002	3.924272e-002	3.516061e-001	
1.700000e+002	8.384786e-003	3.772196e-001	
1.710000e+002	-1.571448e-002	3.693147e-001	
1.720000e+002	2.910191e-002	3.246559e-001	
1.730000e+002	-5.312499e-002	4.008146e-001	
1.740000e+002	8.350565e-002	1.964146e-001	
1.750000e+002	4.382774e-002	2.424094e-001	
1.760000e+002	-6.211072e-003	3.525673e-001	
1.770000e+002	2.669479e-002	2.807572e-001	
1.780000e+002	2.213788e-002	3.257225e-001	
1.790000e+002	1.620522e-002	3.998797e-001	
1.800000e+002	5.061112e-003	3.196428e-001	
1.810000e+002	6.620691e-002	2.520988e-001	
1.820000e+002	-1.622069e-002	3.604248e-001	
1.830000e+002	1.384850e-002	2.854712e-001	
1.840000e+002	-2.891378e-002	4.022794e-001	
1.850000e+002	-4.736277e-002	4.255522e-001	
1.860000e+002	2.996991e-002	2.357803e-001	
1.870000e+002	4.586315e-002	2.087603e-001	
1.880000e+002	9.379339e-003	2.970962e-001	
1.890000e+002	4.475666e-002	3.045749e-001	
1.900000e+002	-2.663300e-002	3.618972e-001	
1.910000e+002	-3.616302e-002	4.333662e-001	
1.920000e+002	-1.192673e-002	3.475315e-001	
1.930000e+002	2.928337e-002	3.483094e-001	
1.940000e+002	1.481187e-002	3.374849e-001	
1.950000e+002	1.734795e-002	3.555687e-001	
1.960000e+002	2.712026e-002	3.674690e-001	
1.970000e+002	-7.315835e-003	3.923691e-001	
1.980000e+002	2.358358e-002	3.745630e-001	
1.990000e+002	3.914181e-002	3.274407e-001	
2.000000e+002	-9.153053e-002	5.090711e-001	
2.010000e+002	3.252036e-002	3.358401e-001	
2.020000e+002	6.201365e-002	2.660849e-001	
2.030000e+002	5.872981e-002	2.577585e-001	
2.040000e+002	4.415212e-002	2.580189e-001	
