symbol,Z,lattice_type,a0,a1,a2,a3,a4,ME (%)
Li,3,BCC,0.90169,0.8780E-02,0.3039E-04,-0.5940E-07,0.4448E-10,0.33
Be,4,HCP,0.35851,-0.1421E-03,0.3225E-05,-0.3136E-08,0.1139E-11,0.69
C,6,DIAMOND,0.12034,-0.2231E-04,0.3348E-06,-0.2108E-09,0.5320E-13,0.09
Na,11,BCC,0.38531,0.1831E-01,0.2176E-04,-0.5389E-07,0.5105E-10,0.12
Mg,12,HCP,0.22668,0.4830E-02,0.3239E-05,-0.3499E-08,0.1362E-11,1.00
Al,13,FCC,0.18496,0.1630E-02,0.2469E-05,-0.2630E-08,0.1015E-11,1.31
Si,14,DIAMOND,0.14236,0.9261E-03,0.1623E-05,-0.1677E-08,0.6351E-12,0.93
K,19,BCC,0.24960,0.3377E-01,0.1624E-04,-0.4263E-07,0.4262E-10,0.02
Ca,20,FCC,0.12238,0.6070E-02,0.1815E-05,-0.1975E-08,0.7726E-12,0.62
Ca,20,BCC,0.14441,0.8010E-02,0.2131E-05,-0.2317E-08,0.9057E-12,0.57
Sc,21,HCP,0.11892,0.1650E-02,0.1665E-05,-0.1791E-08,0.6952E-12,1.06
Ti,22,HCP,0.10764,0.1140E-02,0.1470E-05,-0.1573E-08,0.6088E-12,1.12
V,23,BCC,0.09905,0.1370E-02,0.1334E-05,-0.1424E-08,0.5500E-12,1.02
Cr,24,BCC,0.08979,0.3666E-03,0.1137E-05,-0.1198E-08,0.4588E-12,1.24
Fe,26,BCC,0.08725,0.6233E-03,0.1143E-05,-0.1213E-08,0.4670E-12,1.22
Fe,26,FCC,0.09411,0.1370E-02,0.1302E-05,-0.1398E-08,0.5420E-12,1.01
Ni,28,FCC,0.08579,0.7271E-03,0.1152E-05,-0.1229E-08,0.4745E-12,1.24
Cu,29,FCC,0.08444,0.1380E-02,0.1185E-05,-0.1276E-08,0.4956E-12,1.00
Zn,30,HCP,0.10549,0.3030E-02,0.3054E-05,-0.5039E-08,0.3072E-11,0.38
Ge,32,DIAMOND,0.06984,0.1650E-02,0.9448E-06,-0.1010E-08,0.3904E-12,0.82
Kr,36,FCC,0.21138,0.2794E-01,0.5403E-04,-0.3045E-06,0.6835E-09,0.01
Rb,37,BCC,0.11346,0.4446E-01,0.6973E-05,-0.1760E-07,0.1684E-10,0.01
