Z,Name,cell_type,a,b,c,alpha,beta,gamma,checked_values
12,Mg,HCP,320.94,320.94,524.08,90,90,120,no
13,Al,faceCentered,404.959,404.959,404.959,90,90,90,no
14,Si,diamond,543.09,543.09,543.09,90,90,90,yes
22,Ti,HCP,295,295,468.55,90,90,120,no
23,V,bodyCentered,302.4,302.4,302.4,90,90,90,no
24,Cr,bodyCentered,288.39,288.39,288.39,90,90,90,no
26,a-Fe,bodyCentered,286.65,286.65,286.65,90,90,90,no
27,e-Co,HCP,250.71,250.71,406.95,90,90,120,no
27,a-Co,faceCentered,354.41,354.41,354.41,90,90,90,no
28,Ni,faceCentered,352.4,352.4,352.4,90,90,90,no
29,Cu,faceCentered,361.49,361.49,361.49,90,90,90,yes
30,Zn,HCP,266.49,266.49,494.68,90,90,120,no
32,Ge,diamond,565.75,565.75,565.75,90,90,90,no
41,Nb,bodyCentered,330.04,330.04,330.04,90,90,90,no
42,Mo,bodyCentered,314.73,314.73,314.73,90,90,90,no
44,Ru,HCP,270.59,270.59,428.15,90,90,120,no
45,Rh,faceCentered,380.34,380.34,380.34,90,90,90,no
46,Pd,faceCentered,389.07,389.07,389.07,90,90,90,no
47,Ag,faceCentered,408.53,408.53,408.53,90,90,90,yes
48,Cd,HCP,297.94,297.94,561.86,90,90,120,no
49,In,bodyCentered,325.23,325.23,494.61,90,90,90,no
72,a-Hf,HCP,319.46,319.46,505.10,90,90,120,no
73,Ta,bodyCentered,330.58,330.58,330.58,90,90,90,no
74,W,bodyCentered,316.52,316.52,316.52,90,90,90,no
75,Re,HCP,276.08,276.08,445.82,90,90,120,no
77,Ir,faceCentered,383.94,383.94,383.94,90,90,90,no
78,Pt,faceCentered,392.42,392.42,392.42,90,90,90,no
79,Au,faceCentered,407.82,407.82,407.82,90,90,90,yes
82,Pb,faceCentered,495.08,495.08,495.08,90,90,90,no
